date,region,state_po,class,special,runoff,offyear,candidate,party,ballotparty,writein,voteshare,candidatevotes,totalvotes,version,hidden
11/03/2020,Alabama,AL,2,FALSE,FALSE,FALSE,Jones,democrat,,FALSE,0.397366655,,,20210114,TRUE
11/03/2020,Alabama,AL,2,FALSE,FALSE,FALSE,Tuberville,republican,,FALSE,0.600953616,,,20210114,TRUE
11/03/2020,Alaska,AK,2,FALSE,FALSE,FALSE,Gross,democrat,,FALSE,0.411938396,,,20210114,TRUE
11/03/2020,Alaska,AK,2,FALSE,FALSE,FALSE,Howe,alaskan independence party,,FALSE,0.047395985,,,20210114,TRUE
11/03/2020,Alaska,AK,2,FALSE,FALSE,FALSE,Sullivan,republican,,FALSE,0.53897069,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Davida,republican,,TRUE,8.34E-06,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,McSally,republican,,FALSE,0.488080822,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Schiess,republican,,TRUE,2.74E-05,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Simmons,republican,,TRUE,2.92E-05,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Thomas,republican,,TRUE,8.64E-06,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Arif,democrat,,TRUE,2.03E-05,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Kapadia,democrat,,TRUE,1.73E-05,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Chilton,democrat,,TRUE,5.66E-06,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Kelly,democrat,,FALSE,0.511567794,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Stewart,democrat,,TRUE,6.56E-06,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Dorchester,libertarian,,TRUE,0.000112955,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Beckett,independent,,TRUE,1.76E-05,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Decker,independent,,TRUE,6.26E-06,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Glenn,independent republican party,,TRUE,4.53E-05,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Haupt,independent,,TRUE,1.10E-05,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Rodriguez,independent,,TRUE,5.07E-06,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Rodriguez,unity party,,TRUE,2.06E-05,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Seenz,independent,,TRUE,2.38E-06,,,20210114,TRUE
11/03/2020,Arizona,AZ,3,TRUE,FALSE,FALSE,Stevens,non-affiliated,,TRUE,6.85E-06,,,20210114,TRUE
11/03/2020,Arkansas,AR,2,FALSE,FALSE,FALSE,Harrington,libertarian,,FALSE,0.334704646,,,20210114,TRUE
11/03/2020,Arkansas,AR,2,FALSE,FALSE,FALSE,Cotton,republican,,FALSE,0.665295354,,,20210114,TRUE
11/03/2020,Colorado,CO,2,FALSE,FALSE,FALSE,Hickenlooper,democrat,,FALSE,0.534989601,,,20210114,TRUE
11/03/2020,Colorado,CO,2,FALSE,FALSE,FALSE,Gardner,republican,,FALSE,0.44177527,,,20210114,TRUE
11/03/2020,Colorado,CO,2,FALSE,FALSE,FALSE,Doyle,approval voting party,,FALSE,0.003034808,,,20210114,TRUE
11/03/2020,Colorado,CO,2,FALSE,FALSE,FALSE,Evans,unity party,,FALSE,0.00277243,,,20210114,TRUE
11/03/2020,Colorado,CO,2,FALSE,FALSE,FALSE,Doane,libertarian,,FALSE,0.017387408,,,20210114,TRUE
11/03/2020,Colorado,CO,2,FALSE,FALSE,FALSE,Skelly,unaffiliated,,FALSE,1.70E-05,,,20210114,TRUE
11/03/2020,Colorado,CO,2,FALSE,FALSE,FALSE,Lohmiller,green,,FALSE,2.19E-05,,,20210114,TRUE
11/03/2020,Colorado,CO,2,FALSE,FALSE,FALSE,Sanchez,unaffiliated,,FALSE,1.55E-06,,,20210114,TRUE
11/03/2020,Delaware,DE,2,FALSE,FALSE,FALSE,Coons,democrat,,FALSE,0.594384185,,,20210114,TRUE
11/03/2020,Delaware,DE,2,FALSE,FALSE,FALSE,Witzke,republican,,FALSE,0.378978887,,,20210114,TRUE
11/03/2020,Delaware,DE,2,FALSE,FALSE,FALSE,Turley,independent party of delaware,,FALSE,0.015955269,,,20210114,TRUE
11/03/2020,Delaware,DE,2,FALSE,FALSE,FALSE,Frost,libertarian,,FALSE,0.010681658,,,20210114,TRUE
11/03/2020,Georgia,GA,2,FALSE,FALSE,FALSE,Perdue,republican,,FALSE,0.497279882,,,20210114,TRUE
11/03/2020,Georgia,GA,2,FALSE,FALSE,FALSE,Ossoff,democrat,,FALSE,0.479490123,,,20210114,TRUE
11/03/2020,Georgia,GA,2,FALSE,FALSE,FALSE,Hazel,libertarian,,FALSE,0.023229995,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Bartell,independent,,FALSE,0.002979024,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Buckley,independent,,FALSE,0.003653374,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Collins,republican,,FALSE,0.199507932,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Fortuin,green,,FALSE,0.0031119,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Grayson,republican,,FALSE,0.010498211,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Greene,independent,,FALSE,0.002704929,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Jackson,republican,,FALSE,0.009021519,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Jackson,democrat,,FALSE,0.065953234,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,James,democrat,,FALSE,0.019210229,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Johnson,republican,,FALSE,0.007361283,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Johnson-Shealey,democrat,,FALSE,0.02172551,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Lieberman,democrat,,FALSE,0.027678268,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Loeffler,republican,,FALSE,0.259080275,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Slade,democrat,,FALSE,0.009145645,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Slowinski,libertarian,,FALSE,0.007209686,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Stovall,independent,,FALSE,0.002710017,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Tarver,democrat,,FALSE,0.005358377,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Taylor,republican,,FALSE,0.008210427,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Warnock,democrat,,FALSE,0.329042779,,,20210114,TRUE
11/03/2020,Georgia,GA,3,TRUE,FALSE,FALSE,Winfield,democrat,,FALSE,0.005837382,,,20210114,TRUE
11/03/2020,Idaho,ID,2,FALSE,FALSE,FALSE,Fleming,independent,,FALSE,0.029458251,,,20210114,TRUE
11/03/2020,Idaho,ID,2,FALSE,FALSE,FALSE,Jordan,democrat,,FALSE,0.33246688,,,20210114,TRUE
11/03/2020,Idaho,ID,2,FALSE,FALSE,FALSE,Risch,republican,,FALSE,0.626225973,,,20210114,TRUE
11/03/2020,Idaho,ID,2,FALSE,FALSE,FALSE,Writz,constitution party,,FALSE,0.011848895,,,20210114,TRUE
11/03/2020,Illinois,IL,2,FALSE,FALSE,FALSE,Durbin,democrat,,FALSE,0.549335631,,,20210114,TRUE
11/03/2020,Illinois,IL,2,FALSE,FALSE,FALSE,Curran,republican,,FALSE,0.388659487,,,20210114,TRUE
11/03/2020,Illinois,IL,2,FALSE,FALSE,FALSE,Wilson,willie wilson party,,FALSE,0.039822909,,,20210114,TRUE
11/03/2020,Illinois,IL,2,FALSE,FALSE,FALSE,Malouf,libertarian,,FALSE,0.012677878,,,20210114,TRUE
11/03/2020,Illinois,IL,2,FALSE,FALSE,FALSE,Black,green,,FALSE,0.009501079,,,20210114,TRUE
11/03/2020,Illinois,IL,2,FALSE,FALSE,FALSE,Keely,,,TRUE,1.68E-06,,,20210114,TRUE
11/03/2020,Illinois,IL,2,FALSE,FALSE,FALSE,Seida,,,TRUE,1.01E-06,,,20210114,TRUE
11/03/2020,Illinois,IL,2,FALSE,FALSE,FALSE,Schaal,,,TRUE,3.35E-07,,,20210114,TRUE
11/03/2020,Iowa,IA,2,FALSE,FALSE,FALSE,Ernst,republican,,FALSE,0.508782858,,,20210114,TRUE
11/03/2020,Iowa,IA,2,FALSE,FALSE,FALSE,Greenfield,democrat,,FALSE,0.444000753,,,20210114,TRUE
11/03/2020,Iowa,IA,2,FALSE,FALSE,FALSE,Stewart,libertarian,,FALSE,0.021740102,,,20210114,TRUE
11/03/2020,Iowa,IA,2,FALSE,FALSE,FALSE,Herzog,,,FALSE,0.008117026,,,20210114,TRUE
11/03/2020,Kansas,KS,2,FALSE,FALSE,FALSE,Marshall,republican,,FALSE,0.532231284,,,20210114,TRUE
11/03/2020,Kansas,KS,2,FALSE,FALSE,FALSE,Bollier,democrat,,FALSE,0.417859924,,,20210114,TRUE
11/03/2020,Kansas,KS,2,FALSE,FALSE,FALSE,Buckley,libertarian,,FALSE,0.049908792,,,20210114,TRUE
11/03/2020,Kentucky,KY,2,FALSE,FALSE,FALSE,McConnell,republican,,FALSE,0.577649683,,,20210114,TRUE
11/03/2020,Kentucky,KY,2,FALSE,FALSE,FALSE,McGrath,democrat,,FALSE,0.382311573,,,20210114,TRUE
11/03/2020,Kentucky,KY,2,FALSE,FALSE,FALSE,Barron,libertarian,,FALSE,0.039992375,,,20210114,TRUE
11/03/2020,Kentucky,KY,2,FALSE,FALSE,FALSE,Frangedakis,,,TRUE,3.28E-05,,,20210114,TRUE
11/03/2020,Kentucky,KY,2,FALSE,FALSE,FALSE,Cobble,,,TRUE,8.43E-06,,,20210114,TRUE
11/03/2020,Kentucky,KY,2,FALSE,FALSE,FALSE,Teegargen,,,TRUE,4.22E-06,,,20210114,TRUE
11/03/2020,Kentucky,KY,2,FALSE,FALSE,FALSE,Wysinger,,,TRUE,4.68E-07,,,20210114,TRUE
11/03/2020,Kentucky,KY,2,FALSE,FALSE,FALSE,Fitzpatrick,,,TRUE,4.68E-07,,,20210114,TRUE
11/03/2020,Louisiana,LA,2,FALSE,FALSE,FALSE,Billiot,unaffiliated,,FALSE,0.008381192,,,20210114,TRUE
11/03/2020,Louisiana,LA,2,FALSE,FALSE,FALSE,Bourgeois,unaffiliated,,FALSE,0.007973766,,,20210114,TRUE
11/03/2020,Louisiana,LA,2,FALSE,FALSE,FALSE,Cassidy,republican,,FALSE,0.59323316,,,20210114,TRUE
11/03/2020,Louisiana,LA,2,FALSE,FALSE,FALSE,Daret,unaffiliated,,FALSE,0.001908722,,,20210114,TRUE
11/03/2020,Louisiana,LA,2,FALSE,FALSE,FALSE,Edwards,democrat,,FALSE,0.110938561,,,20210114,TRUE
11/03/2020,Louisiana,LA,2,FALSE,FALSE,FALSE,John,other,,FALSE,0.001357925,,,20210114,TRUE
11/03/2020,Louisiana,LA,2,FALSE,FALSE,FALSE,Knight,democrat,,FALSE,0.017842738,,,20210114,TRUE
11/03/2020,Louisiana,LA,2,FALSE,FALSE,FALSE,Mendoza,independent,,FALSE,0.003770619,,,20210114,TRUE
11/03/2020,Louisiana,LA,2,FALSE,FALSE,FALSE,Montgomery,unaffiliated,,FALSE,0.002801776,,,20210114,TRUE
11/03/2020,Louisiana,LA,2,FALSE,FALSE,FALSE,Murphy,republican,,FALSE,0.018528701,,,20210114,TRUE
11/03/2020,Louisiana,LA,2,FALSE,FALSE,FALSE,Perkins,democrat,,FALSE,0.190220044,,,20210114,TRUE
11/03/2020,Louisiana,LA,2,FALSE,FALSE,FALSE,Pierce,democrat,,FALSE,0.026892997,,,20210114,TRUE
11/03/2020,Louisiana,LA,2,FALSE,FALSE,FALSE,Price,other,,FALSE,0.003707381,,,20210114,TRUE
11/03/2020,Louisiana,LA,2,FALSE,FALSE,FALSE,Sigler,libertarian,,FALSE,0.005465008,,,20210114,TRUE
11/03/2020,Louisiana,LA,2,FALSE,FALSE,FALSE,Wenstrup,democrat,,FALSE,0.006977408,,,20210114,TRUE
11/03/2020,Maine,ME,2,FALSE,FALSE,FALSE,Collins,republican,,FALSE,0.509831137,,,20210114,TRUE
11/03/2020,Maine,ME,2,FALSE,FALSE,FALSE,Gideon,democrat,,FALSE,0.423864997,,,20210114,TRUE
11/03/2020,Maine,ME,2,FALSE,FALSE,FALSE,Linn,independent,,FALSE,0.0164896,,,20210114,TRUE
11/03/2020,Maine,ME,2,FALSE,FALSE,FALSE,Savage,independent,,FALSE,0.04953594,,,20210114,TRUE
11/03/2020,Massachusetts,MA,2,FALSE,FALSE,FALSE,Markey,democrat,,FALSE,0.661537326,,,20210114,TRUE
11/03/2020,Massachusetts,MA,2,FALSE,FALSE,FALSE,O'Conner,republican,,FALSE,0.33044895,,,20210114,TRUE
11/03/2020,Massachusetts,MA,2,FALSE,FALSE,FALSE,Ayyadurai,,,FALSE,0.005929628,,,20210114,TRUE
11/03/2020,Michigan,MI,2,FALSE,FALSE,FALSE,Peters,democrat,,FALSE,0.499034257,,,20210114,TRUE
11/03/2020,Michigan,MI,2,FALSE,FALSE,FALSE,James,republican,,FALSE,0.482183944,,,20210114,TRUE
11/03/2020,Michigan,MI,2,FALSE,FALSE,FALSE,Willis,us taxpayers,,FALSE,0.009233501,,,20210114,TRUE
11/03/2020,Michigan,MI,2,FALSE,FALSE,FALSE,Squier,green,,FALSE,0.007156753,,,20210114,TRUE
11/03/2020,Michigan,MI,2,FALSE,FALSE,FALSE,Dern,natural law,,FALSE,0.002389356,,,20210114,TRUE
11/03/2020,Michigan,MI,2,FALSE,FALSE,FALSE,Carr,,,TRUE,9.12E-07,,,20210114,TRUE
11/03/2020,Michigan,MI,2,FALSE,FALSE,FALSE,Gadzinski,,,TRUE,1.28E-06,,,20210114,TRUE
11/03/2020,Minnesota,MN,2,FALSE,FALSE,FALSE,O'Connor,legal marijuana now,,FALSE,0.059159569,,,20210114,TRUE
11/03/2020,Minnesota,MN,2,FALSE,FALSE,FALSE,Steinberg,grassroots,,FALSE,0.017787631,,,20210114,TRUE
11/03/2020,Minnesota,MN,2,FALSE,FALSE,FALSE,Lewis,republican,,FALSE,0.434982466,,,20210114,TRUE
