date,region,state_po,candidate,party,voteshare,ev
12/15/1788,Connecticut,CT,Washington,independent,100,7
12/15/1788,Delaware,DE,Washington,independent,100,3
12/15/1788,Georgia,GA,Washington,independent,100,5
12/15/1788,Maryland,MD,Washington,independent,100,6
12/15/1788,Massachusetts,MA,Washington,independent,100,10
12/15/1788,New Hampshire,NH,Washington,independent,100,5
12/15/1788,New Jersey,NJ,Washington,independent,100,6
12/15/1788,Pennsylvania,PA,Washington,independent,100,10
12/15/1788,South Carolina,SC,Washington,independent,100,7
12/15/1788,Virginia,VA,Washington,independent,100,10
11/2/1792,Connecticut,CT,Washington,independent,100,9
11/2/1792,Delaware,DE,Washington,independent,100,3
11/2/1792,Georgia,GA,Washington,independent,100,4
11/2/1792,Kentucky,KY,Washington,independent,100,4
11/2/1792,Maryland,MD,Washington,independent,100,8
11/2/1792,Massachusetts,MA,Washington,independent,100,16
11/2/1792,New Hampshire,NH,Washington,independent,100,6
11/2/1792,New Jersey,NJ,Washington,independent,100,7
11/2/1792,New York,NY,Washington,independent,100,12
11/2/1792,North Carolina,NC,Washington,independent,100,12
11/2/1792,Pennsylvania,PA,Washington,independent,100,15
11/2/1792,Rhode Island,RI,Washington,independent,100,4
11/2/1792,South Carolina,SC,Washington,independent,100,8
11/2/1792,Vermont,VT,Washington,independent,100,3
11/2/1792,Virginia,VA,Washington,independent,100,21
11/4/1796,Connecticut,CT,Adams,federalist,100,9
11/4/1796,Delaware,DE,Adams,federalist,100,3
11/4/1796,Georgia,GA,Jefferson,democratic-republican,100,4
11/4/1796,Kentucky,KY,Jefferson,democratic-republican,100,4
11/4/1796,Maryland,MD,Adams,federalist,63.6,7
11/4/1796,Maryland,MD,Jefferson,democratic-republican,36.4,4
11/4/1796,Massachusetts,MA,Adams,federalist,100,16
11/4/1796,New Hampshire,NH,Adams,federalist,100,6
11/4/1796,New Jersey,NJ,Adams,federalist,100,7
11/4/1796,New York,NY,Adams,federalist,100,12
11/4/1796,North Carolina,NC,Jefferson,democratic-republican,91.7,11
11/4/1796,North Carolina,NC,Adams,federalist,8.3,1
11/4/1796,Pennsylvania,PA,Jefferson,democratic-republican,93.3,14
11/4/1796,Pennsylvania,PA,Adams,federalist,6.7,1
11/4/1796,Rhode Island,RI,Adams,federalist,100,4
11/4/1796,South Carolina,SC,Jefferson,democratic-republican,100,8
11/4/1796,Tennessee,TN,Jefferson,democratic-republican,100,3
11/4/1796,Vermont,VT,Adams,federalist,100,4
11/4/1796,Virginia,VA,Jefferson,democratic-republican,95.2,20
11/4/1796,Virginia,VA,Adams,federalist,4.8,1
10/31/1800,Connecticut,CT,Adams,federalist,100,9
10/31/1800,Delaware,DE,Adams,federalist,100,3
10/31/1800,Georgia,GA,Jefferson,democratic-republican,100,4
10/31/1800,Kentucky,KY,Jefferson,democratic-republican,100,4
10/31/1800,Maryland,MD,Jefferson,democratic-republican,50,5
10/31/1800,Maryland,MD,Adams,federalist,50,5
10/31/1800,Massachusetts,MA,Adams,federalist,100,16
10/31/1800,New Hampshire,NH,Adams,federalist,100,6
10/31/1800,New Jersey,NJ,Adams,federalist,100,7
10/31/1800,New York,NY,Jefferson,democratic-republican,100,12
10/31/1800,North Carolina,NC,Jefferson,democratic-republican,66.7,8
10/31/1800,North Carolina,NC,Adams,federalist,33.3,4
10/31/1800,Pennsylvania,PA,Jefferson,democratic-republican,53.3,8
10/31/1800,Pennsylvania,PA,Adams,federalist,46.7,7
10/31/1800,Rhode Island,RI,Adams,federalist,100,4
10/31/1800,South Carolina,SC,Jefferson,democratic-republican,100,8
10/31/1800,Tennessee,TN,Jefferson,democratic-republican,100,3
10/31/1800,Vermont,VT,Adams,federalist,100,4
10/31/1800,Virginia,VA,Jefferson,democratic-republican,100,21
11/2/1804,Connecticut,CT,Pinckney,federalist,100,9
11/2/1804,Delaware,DE,Pinckney,federalist,100,3
11/2/1804,Georgia,GA,Jefferson,democratic-republican,100,6
11/2/1804,Kentucky,KY,Jefferson,democratic-republican,100,8
11/2/1804,Maryland,MD,Jefferson,democratic-republican,81.8,9
11/2/1804,Maryland,MD,Pinckney,federalist,18.2,2
11/2/1804,Massachusetts,MA,Jefferson,democratic-republican,100,19
11/2/1804,New Hampshire,NH,Jefferson,democratic-republican,100,7
11/2/1804,New Jersey,NJ,Jefferson,democratic-republican,100,8
11/2/1804,New York,NY,Jefferson,democratic-republican,100,19
11/2/1804,North Carolina,NC,Jefferson,democratic-republican,100,14
11/2/1804,Ohio,OH,Jefferson,democratic-republican,100,3
11/2/1804,Pennsylvania,PA,Jefferson,democratic-republican,100,20
