date,region,candidate,party,offyear,runoff,voteshare,candidatevotes,totalvotes
8/21/2024,Coalition,labour,lablib,FALSE,FALSE,0,,
8/21/2024,Coalition,liberal,lablib,FALSE,FALSE,0,,
8/21/2024,North,Virt,liberal,FALSE,FALSE,42.86,3,7
8/21/2024,North,Armstrong,independent,FALSE,FALSE,28.57,2,7
8/21/2024,North,Cob,labour,FALSE,FALSE,14.29,1,7
8/21/2024,North,Geodore,independent,FALSE,FALSE,14.29,1,7
8/21/2024,North,Virt,liberal,FALSE,TRUE,57.14,4,7
8/21/2024,North,Armstrong,independent,FALSE,TRUE,42.86,3,7
8/21/2024,East,GMV,liberal,FALSE,FALSE,62.5,5,8
8/21/2024,East,Copperhead,conservative,FALSE,FALSE,37.5,3,8
8/21/2024,South,Ok,labour,FALSE,FALSE,60,6,10
8/21/2024,South,Deet0722,alliance,FALSE,FALSE,40,4,10
8/21/2024,West,Nath,liberal,FALSE,FALSE,36.36,4,11
8/21/2024,West,Spakian,conservative,FALSE,FALSE,36.36,4,11
8/21/2024,West,Plxto,labour,FALSE,FALSE,18.18,2,11
8/21/2024,West,June_3rd,independent,FALSE,FALSE,9.09,1,11
8/21/2024,West,Nath,liberal,FALSE,TRUE,60,6,10
8/21/2024,West,Spakian,conservative,FALSE,TRUE,40,4,10
8/21/2024,List Seat 1,How do i type,conservative,FALSE,FALSE,100,,
8/21/2024,List Seat 2,BlockyBeach,conservative,FALSE,FALSE,100,,
8/21/2024,List Seat 3,Deet0722,conservative,FALSE,FALSE,100,,
8/21/2024,List Seat 4,Copperhead,conservative,FALSE,FALSE,100,,
8/21/2024,List Seat 5,Charlemagne,liberal,FALSE,FALSE,100,,
8/21/2024,List Seat 6,Cob,labour,FALSE,FALSE,100,,
8/21/2024,List Seat 7,KingsCastle,labour,FALSE,FALSE,100,,
8/21/2024,List Seat 8,Plxto,labour,FALSE,FALSE,100,,
8/21/2024,List Seat 9,Ash,labour,FALSE,FALSE,100,,
8/21/2024,National Popular Vote,Labour,labour,FALSE,FALSE,38.89,,
8/21/2024,National Popular Vote,Liberal,liberal,FALSE,FALSE,30.56,,
8/21/2024,National Popular Vote,Conservative,conservative,FALSE,FALSE,30.56,,
