date,round,region,candidate,party,voteshare,candidatevotes,totalvotes
8/21/2024,1,Alvana,BlockyBeach,alliance,50,,
8/21/2024,1,Alvana,Nath,liberal,25,,
8/21/2024,1,Alvana,Sonia Gandhi,labour,25,,
8/21/2024,1,Brunix Islands,BlockyBeach,alliance,33.33,,
8/21/2024,1,Brunix Islands,Nath,liberal,66.67,,
8/21/2024,1,Brunix Islands,Sonia Gandhi,labour,0,,
8/21/2024,1,Dalminica,BlockyBeach,alliance,49.99,,
8/21/2024,1,Dalminica,Nath,liberal,0,,
8/21/2024,1,Dalminica,Sonia Gandhi,labour,50.01,,
8/21/2024,1,Dentone,BlockyBeach,alliance,39.99,,
8/21/2024,1,Dentone,Nath,liberal,20,,
8/21/2024,1,Dentone,Sonia Gandhi,labour,40.01,,
8/21/2024,1,Emix,BlockyBeach,alliance,0,,
8/21/2024,1,Emix,Nath,liberal,75,,
8/21/2024,1,Emix,Sonia Gandhi,labour,25,,
8/21/2024,1,Garvor,BlockyBeach,alliance,16.67,,
8/21/2024,1,Garvor,Nath,liberal,66.67,,
8/21/2024,1,Garvor,Sonia Gandhi,labour,16.67,,
8/21/2024,1,Quintin,BlockyBeach,alliance,20,,
8/21/2024,1,Quintin,Nath,liberal,0,,
8/21/2024,1,Quintin,Sonia Gandhi,labour,80,,
8/21/2024,1,Trunoe,BlockyBeach,alliance,25,,
8/21/2024,1,Trunoe,Nath,liberal,0,,
8/21/2024,1,Trunoe,Sonia Gandhi,labour,75,,
8/21/2024,1,National Popular Vote,BlockyBeach,alliance,28.57,,
8/21/2024,1,National Popular Vote,Nath,liberal,31.43,,
8/21/2024,1,National Popular Vote,Sonia Gandhi,labour,40,,
8/21/2024,2,Alvana,Nath,liberal,25,,
8/21/2024,2,Alvana,Sonia Gandhi,labour,75,,
8/21/2024,2,Brunix Islands,Nath,liberal,66.67,,
8/21/2024,2,Brunix Islands,Sonia Gandhi,labour,33.33,,
8/21/2024,2,Dalminica,Nath,liberal,49.99,,
8/21/2024,2,Dalminica,Sonia Gandhi,labour,50.01,,
8/21/2024,2,Dentone,Nath,liberal,49.99,,
8/21/2024,2,Dentone,Sonia Gandhi,labour,50.01,,
8/21/2024,2,Emix,Nath,liberal,75,,
8/21/2024,2,Emix,Sonia Gandhi,labour,25,,
8/21/2024,2,Garvor,Nath,liberal,66.67,,
8/21/2024,2,Garvor,Sonia Gandhi,labour,33.33,,
8/21/2024,2,Quintin,Nath,liberal,0,,
8/21/2024,2,Quintin,Sonia Gandhi,labour,100,,
8/21/2024,2,Trunoe,Nath,liberal,0,,
8/21/2024,2,Trunoe,Sonia Gandhi,labour,100,,
8/21/2024,2,National Popular Vote,Nath,liberal,42.42,,
8/21/2024,2,National Popular Vote,Sonia Gandhi,labour,57.58,,
10/20/2024,1,Alvana,John McCain Fan,liberal,33.35,,
10/20/2024,1,Alvana,Sonia Gandhi,labour,33.32,,
10/20/2024,1,Alvana,How Do I Type,alliance,33.32,,
10/20/2024,1,Alvana,Cob,independent,0,,
10/20/2024,1,Brunix Islands,John McCain Fan,liberal,66.67,,
10/20/2024,1,Brunix Islands,Sonia Gandhi,labour,16.67,,
10/20/2024,1,Brunix Islands,How Do I Type,alliance,16.67,,
10/20/2024,1,Brunix Islands,Cob,independent,0,,
10/20/2024,1,Dalminica,John McCain Fan,liberal,100,,
10/20/2024,1,Dalminica,Sonia Gandhi,labour,0,,
10/20/2024,1,Dalminica,How Do I Type,alliance,0,,
10/20/2024,1,Dalminica,Cob,independent,0,,
10/20/2024,1,Dentone,John McCain Fan,liberal,40.01,,
10/20/2024,1,Dentone,Sonia Gandhi,labour,20,,
10/20/2024,1,Dentone,How Do I Type,alliance,39.99,,
10/20/2024,1,Dentone,Cob,independent,0,,
10/20/2024,1,Emix,John McCain Fan,liberal,50.01,,
10/20/2024,1,Emix,Sonia Gandhi,labour,0,,
10/20/2024,1,Emix,How Do I Type,alliance,0,,
10/20/2024,1,Emix,Cob,independent,49.99,,
10/20/2024,1,Garvor,John McCain Fan,liberal,50,,
10/20/2024,1,Garvor,Sonia Gandhi,labour,33.33,,
10/20/2024,1,Garvor,How Do I Type,alliance,0,,
10/20/2024,1,Garvor,Cob,independent,16.67,,
10/20/2024,1,Quintin,John McCain Fan,liberal,0,,
10/20/2024,1,Quintin,Sonia Gandhi,labour,80,,
10/20/2024,1,Quintin,How Do I Type,alliance,20,,
10/20/2024,1,Quintin,Cob,independent,0,,
10/20/2024,1,Trunoe,John McCain Fan,liberal,0,,
10/20/2024,1,Trunoe,Sonia Gandhi,labour,66.67,,
10/20/2024,1,Trunoe,How Do I Type,alliance,0,,
10/20/2024,1,Trunoe,Cob,independent,33.33,,
10/20/2024,1,National Popular Vote,John McCain Fan,liberal,41.18,,
10/20/2024,1,National Popular Vote,Sonia Gandhi,labour,32.35,,
10/20/2024,1,National Popular Vote,How Do I Type,alliance,14.71,,
10/20/2024,1,National Popular Vote,Cob,independent,11.76,,
10/20/2024,2,Alvana,John McCain Fan,liberal,33.35,,
10/20/2024,2,Alvana,Sonia Gandhi,labour,33.32,,
10/20/2024,2,Alvana,How Do I Type,alliance,33.32,,
10/20/2024,2,Brunix Islands,John McCain Fan,liberal,66.67,,
10/20/2024,2,Brunix Islands,Sonia Gandhi,labour,16.67,,
10/20/2024,2,Brunix Islands,How Do I Type,alliance,16.67,,
10/20/2024,2,Dalminica,John McCain Fan,liberal,100,,
10/20/2024,2,Dalminica,Sonia Gandhi,labour,0,,
10/20/2024,2,Dalminica,How Do I Type,alliance,0,,
10/20/2024,2,Dentone,John McCain Fan,liberal,40.01,,
10/20/2024,2,Dentone,Sonia Gandhi,labour,20,,
10/20/2024,2,Dentone,How Do I Type,alliance,39.99,,
10/20/2024,2,Emix,John McCain Fan,liberal,75,,
10/20/2024,2,Emix,Sonia Gandhi,labour,25,,
