date,region,candidate,party,offyear,runoff,voteshare
11/16/2025,North Sitting,BFDIfan,pwp,FALSE,FALSE,100
11/16/2025,East Sitting,Flame,pwp,FALSE,FALSE,100
11/16/2025,South Sitting,Joris,progressive,FALSE,FALSE,100
11/16/2025,West Sitting,TMK,labour,FALSE,FALSE,100
11/16/2025,Center Sitting,Historical Ronan,renewal,FALSE,FALSE,100
11/16/2025,North,Purrium,labour,FALSE,FALSE,62.52
11/16/2025,North,Cob,independent,FALSE,FALSE,37.48
11/16/2025,East,Potato,labour,FALSE,FALSE,46.53
11/16/2025,East,Flame,pwp,FALSE,FALSE,26.2
11/16/2025,East,JoJo,alliance,FALSE,FALSE,19.27
11/16/2025,East,Heatland,renewal,FALSE,FALSE,8
11/16/2025,East,Potato,labour,FALSE,TRUE,50.48
11/16/2025,East,Flame,pwp,FALSE,TRUE,27.07
11/16/2025,East,JoJo,alliance,FALSE,TRUE,22.45
11/16/2025,South,Timothy Pickering,alliance,FALSE,FALSE,42.1
11/16/2025,South,Danylo,labour,FALSE,FALSE,32.52
11/16/2025,South,Joris,progressive,FALSE,FALSE,25.37
11/16/2025,South,Timothy Pickering,alliance,FALSE,TRUE,50.71
11/16/2025,South,Danylo,labour,FALSE,TRUE,49.29
11/16/2025,West,Alex k,alliance,FALSE,FALSE,40.31
11/16/2025,West,Bernie Sanders,progressive,FALSE,FALSE,39.63
11/16/2025,West,TMK,labour,FALSE,FALSE,20.06
11/16/2025,West,Alex k,alliance,FALSE,TRUE,51.48
11/16/2025,West,Bernie Sanders,progressive,FALSE,TRUE,48.52
11/16/2025,Center,Flor Belgier,labour,FALSE,FALSE,40.33
11/16/2025,Center,Kingsley Bruh,alliance,FALSE,FALSE,30.15
11/16/2025,Center,GMV,progressive,FALSE,FALSE,29.52
11/16/2025,Center,Flor Belgier,labour,FALSE,TRUE,58.5
11/16/2025,Center,Kingsley Bruh,alliance,FALSE,TRUE,41.5
11/16/2025,National Popular Vote,Labour,labour,FALSE,FALSE,40.4
11/16/2025,National Popular Vote,Alliance,alliance,FALSE,FALSE,26.37
11/16/2025,National Popular Vote,Progressive,progressive,FALSE,FALSE,18.9
11/16/2025,National Popular Vote,PWP,pwp,FALSE,FALSE,5.24
11/16/2025,National Popular Vote,Renewal,renewal,FALSE,FALSE,0
11/16/2025,National Popular Vote,Independent,independent,FALSE,FALSE,9.1
12/13/2025,North Sitting,Purrium,labour,FALSE,FALSE,100
12/13/2025,East Sitting,Potato,labour,FALSE,FALSE,100
12/13/2025,South Sitting,Timothy Pickering,alliance,FALSE,FALSE,100
12/13/2025,West Sitting,Alex k,alliance,FALSE,FALSE,100
12/13/2025,Center Sitting,Flor Belgier,labour,FALSE,FALSE,100
12/13/2025,North,BFDIfan,pwp,FALSE,FALSE,100
12/13/2025,East,Eden,alliance,FALSE,FALSE,35
12/13/2025,East,Flame,pwp,FALSE,FALSE,44.71
12/13/2025,East,Meiscool,jnp,FALSE,FALSE,14.26
12/13/2025,East,Forsh,independent,FALSE,FALSE,6.03
12/13/2025,East,Eden,alliance,FALSE,TRUE,51.52
12/13/2025,East,Flame,pwp,FALSE,TRUE,48.48
12/13/2025,South,Danylo,labour,FALSE,FALSE,100
12/13/2025,West,Strxya,progressive,FALSE,FALSE,68.96
12/13/2025,West,Athabasca,renewal,FALSE,FALSE,31.04
12/13/2025,Center,GMV,progressive,FALSE,FALSE,52.06
12/13/2025,Center,Cruzer,alliance,FALSE,FALSE,37.3
12/13/2025,Center,Historical Ronan,renewal,FALSE,FALSE,10.64
12/13/2025,National Popular Vote,JNP,jnp,FALSE,FALSE,2.43
12/13/2025,National Popular Vote,Alliance,alliance,FALSE,FALSE,14.63
12/13/2025,National Popular Vote,Renewal,renewal,FALSE,FALSE,8.34
12/13/2025,National Popular Vote,Independent,independent,FALSE,FALSE,1.24
12/13/2025,National Popular Vote,Labour,labour,FALSE,FALSE,20
12/13/2025,National Popular Vote,Progressive,progressive,FALSE,FALSE,24.2
12/13/2025,National Popular Vote,PWP,pwp,FALSE,FALSE,29.16
01/05/2026,North Sitting,Javer,labour,TRUE,FALSE,100
1/26/2026,North Sitting,BFDIfan,pwp,FALSE,FALSE,100
1/26/2026,East Sitting,Eden,alliance,FALSE,FALSE,100
1/26/2026,South Sitting,Danylo,labour,FALSE,FALSE,100
