date,region,state_po,candidate,party,voteshare,candidatevotes,totalvotes,ev,version
11/06/1900,Alabama,AL,McKinley,republican,34.82453723,,,,
11/06/1900,Alabama,AL,Bryan,democrat,60.82270871,,,,
11/06/1900,Alabama,AL,Other,independent,4.352754052,,,,
11/06/1900,Arkansas,AR,McKinley,republican,35.03667902,,,,
11/06/1900,Arkansas,AR,Bryan,democrat,63.45862074,,,,
11/06/1900,Arkansas,AR,Other,independent,1.504700233,,,,
11/06/1900,California,CA,McKinley,republican,54.37386965,,,,
11/06/1900,California,CA,Bryan,democrat,41.24863038,,,,
11/06/1900,California,CA,Other,independent,4.377499967,,,,
11/06/1900,Colorado,CO,McKinley,republican,42.03642145,,,,
11/06/1900,Colorado,CO,Bryan,democrat,55.43295635,,,,
11/06/1900,Colorado,CO,Other,independent,2.5306222,,,,
11/06/1900,Connecticut,CT,McKinley,republican,56.9227781,,,,
11/06/1900,Connecticut,CT,Bryan,democrat,41.07439163,,,,
11/06/1900,Connecticut,CT,Other,independent,2.002830267,,,,
11/06/1900,Delaware,DE,McKinley,republican,53.66881802,,,,
11/06/1900,Delaware,DE,Bryan,democrat,44.89747315,,,,
11/06/1900,Delaware,DE,Other,independent,1.433708829,,,,
11/06/1900,Florida,FL,McKinley,republican,18.5502787,,,,
11/06/1900,Florida,FL,Bryan,democrat,71.30822972,,,,
11/06/1900,Florida,FL,Other,independent,10.14149159,,,,
11/06/1900,Georgia,GA,McKinley,republican,28.21843341,,,,
11/06/1900,Georgia,GA,Bryan,democrat,66.86434396,,,,
11/06/1900,Georgia,GA,Other,independent,4.917222634,,,,
11/06/1900,Idaho,ID,McKinley,republican,46.96273785,,,,
11/06/1900,Idaho,ID,Bryan,democrat,50.78910108,,,,
11/06/1900,Idaho,ID,Other,independent,2.248161066,,,,
11/06/1900,Illinois,IL,McKinley,republican,52.83033704,,,,
11/06/1900,Illinois,IL,Bryan,democrat,44.44406161,,,,
11/06/1900,Illinois,IL,Other,independent,2.725601358,,,,
11/06/1900,Indiana,IN,McKinley,republican,50.60473367,,,,
11/06/1900,Indiana,IN,Bryan,democrat,46.61749692,,,,
11/06/1900,Indiana,IN,Other,independent,2.777769412,,,,
11/06/1900,Iowa,IA,McKinley,republican,58.03810655,,,,
11/06/1900,Iowa,IA,Bryan,democrat,39.45753316,,,,
11/06/1900,Iowa,IA,Other,independent,2.504360287,,,,
11/06/1900,Kansas,KS,McKinley,republican,52.56440698,,,,
11/06/1900,Kansas,KS,Bryan,democrat,45.96286811,,,,
11/06/1900,Kansas,KS,Other,independent,1.472724909,,,,
11/06/1900,Kentucky,KY,McKinley,republican,48.50501319,,,,
11/06/1900,Kentucky,KY,Bryan,democrat,50.21216619,,,,
11/06/1900,Kentucky,KY,Other,independent,1.282820625,,,,
