date,name,AL,AK,AR,CO,DE,FL,GA,ID,IL,IA,KS,KY,LA,ME,MA,MI,MN,MS,MT,NE,NH,NJ,NM,NC,OH,OK,OR,RI,SC,SD,TN,TX,VA,WV,WY
22/09/2026,Javer,SafeR,LeanD,SafeR,SafeD,SafeD,LikelyR,LikelyD,SafeR,SafeD,TiltR,LikelyR,SafeR,SafeR,LeanD,SafeD,LeanD,LikelyD,LikelyR,SafeR,LeanR,LikelyD,SafeD,SafeD,LikelyD,LeanD,SafeR,SafeD,SafeD,LikelyR,SafeR,SafeR,LeanD,SafeD,SafeR,SafeR
22/09/2026,Meerkat,SafeR,TiltD,SafeR,SafeD,SafeD,LeanR,LikelyD,SafeR,SafeD,TiltR,LeanR,SafeR,SafeR,LeanD,SafeD,LikelyD,LikelyD,LikelyR,LikelyR,LeanR,LikelyD,SafeD,SafeD,LikelyD,LeanD,SafeR,SafeD,SafeD,LikelyR,SafeR,SafeR,LeanD,SafeD,SafeR,SafeR
22/09/2026,TMK,SafeR,LeanD,SafeR,SafeD,SafeD,LikelyR,LikelyD,SafeR,SafeD,TiltR,LikelyR,SafeR,SafeR,LeanD,SafeD,LeanD,LikelyD,LikelyR,SafeR,LeanR,LikelyD,SafeD,SafeD,LikelyD,TiltD,SafeR,SafeD,SafeD,LikelyR,SafeR,SafeR,TiltD,SafeD,SafeR,SafeR
22/09/2026,Usgball,SafeR,LeanR,SafeR,SafeD,SafeD,SafeR,LeanD,SafeR,SafeD,LeanR,LikelyR,SafeR,SafeR,TiltD,SafeD,TiltD,LikelyD,SafeR,SafeR,LikelyR,LeanD,SafeD,LikelyD,LikelyD,LeanR,SafeR,SafeD,SafeD,SafeR,SafeR,SafeR,LeanR,SafeD,SafeR,SafeR
22/09/2026,Maki,SafeR,LeanD,SafeR,SafeD,SafeD,LikelyR,LikelyD,SafeR,SafeD,TiltR,LikelyR,SafeR,SafeR,LeanD,SafeD,LikelyD,LikelyD,LikelyR,SafeR,LeanR,LikelyD,SafeD,SafeD,LikelyD,TiltD,SafeR,SafeD,SafeD,LikelyR,SafeR,SafeR,TiltD,SafeD,SafeR,SafeR
22/09/2026,Trey,SafeR,LeanD,SafeR,SafeD,SafeD,LikelyR,LikelyD,SafeR,SafeD,TiltD,LikelyR,SafeR,SafeR,LeanD,SafeD,LeanD,LikelyD,LikelyR,SafeR,LeanR,LikelyD,SafeD,SafeD,LikelyD,LeanD,SafeR,SafeD,SafeD,LikelyR,SafeR,SafeR,LeanD,SafeD,SafeR,SafeR
22/09/2026,Cert,SafeR,LeanD,SafeR,SafeD,SafeD,LikelyR,LikelyD,SafeR,SafeD,TiltR,LeanR,SafeR,SafeR,TiltD,SafeD,LeanD,SafeD,LikelyR,SafeR,LeanR,LikelyD,SafeD,SafeD,LikelyD,TiltD,SafeR,SafeD,SafeD,LikelyR,SafeR,SafeR,TiltD,SafeD,SafeR,SafeR
22/09/2026,MetroidNerd,SafeR,LeanD,SafeR,SafeD,SafeD,LikelyR,LikelyD,SafeR,SafeD,LeanR,LikelyR,SafeR,SafeR,LeanD,SafeD,LeanD,LikelyD,LikelyR,SafeR,LeanR,LikelyD,SafeD,LikelyD,LeanD,TiltR,SafeR,SafeD,SafeD,LikelyR,SafeR,SafeR,TiltR,LikelyD,SafeR,SafeR
22/09/2026,JAMden,SafeR,LeanD,SafeR,SafeD,SafeD,LikelyR,SafeD,SafeR,SafeD,TiltD,LikelyR,SafeR,SafeR,LeanD,SafeD,LeanD,SafeD,LikelyR,SafeR,LeanR,LikelyD,SafeD,SafeD,LikelyD,TiltD,SafeR,SafeD,SafeD,LikelyR,SafeR,SafeR,TiltD,SafeD,SafeR,SafeR
22/09/2026,PennRail,SafeR,LeanD,SafeR,SafeD,SafeD,LikelyR,LikelyD,SafeR,SafeD,TiltR,LikelyR,SafeR,SafeR,LeanD,SafeD,LeanD,LikelyD,LikelyR,SafeR,LeanR,LikelyD,SafeD,SafeD,LikelyD,TiltD,SafeR,SafeD,SafeD,LikelyR,SafeR,SafeR,TiltD,SafeD,SafeR,SafeR
22/09/2026,Van der Plan,SafeR,LeanD,SafeR,LeanD,SafeD,LikelyR,LikelyD,SafeR,SafeD,TiltR,LikelyR,SafeR,SafeR,LeanD,SafeD,LeanD,LikelyD,LikelyR,SafeR,LeanR,LeanD,SafeD,LikelyD,LikelyD,LeanD,SafeR,SafeD,SafeD,LikelyR,SafeR,SafeR,LeanD,SafeD,SafeR,SafeR
22/09/2026,HowDoIType,SafeR,LeanD,SafeR,SafeD,SafeD,LikelyR,LikelyD,SafeR,SafeD,LeanR,LikelyR,SafeR,SafeR,LeanD,SafeD,LeanD,LikelyD,LikelyR,SafeR,LikelyR,LeanD,SafeD,SafeD,LikelyD,TiltR,SafeR,SafeD,SafeD,LikelyR,SafeR,SafeR,TiltR,SafeD,SafeR,SafeR
