date,round,region,candidate,party,voteshare,disabled
03/08/1000,1,Appropriation 1,,,0,TRUE
03/08/1000,1,Appropriation 2,,,0,TRUE
03/08/1000,1,Appropriation 3,,,0,TRUE
03/08/1000,1,Appropriation 4,,,0,TRUE
03/08/1000,1,Appropriation 5,,,0,TRUE
03/08/1000,1,Appropriation 6,,,0,TRUE
03/08/1000,1,National Popular Vote,Beary,sgp,23.81,
03/08/1000,1,National Popular Vote,Baudshaw,sdf,23.81,
03/08/1000,1,National Popular Vote,Mew,reform,52.38,
03/08/1000,1,Matatheste,Beary,sgp,100,
03/08/1000,1,Matatheste,Baudshaw,sdf,0,
03/08/1000,1,Matatheste,Mew,reform,0,
03/08/1000,1,New Queria,Beary,sgp,100,
03/08/1000,1,New Queria,Baudshaw,sdf,0,
03/08/1000,1,New Queria,Mew,reform,0,
03/08/1000,1,Yapburgh,Beary,sgp,50,
03/08/1000,1,Yapburgh,Baudshaw,sdf,0,
03/08/1000,1,Yapburgh,Mew,reform,50,
03/08/1000,1,Opplica,Beary,sgp,0,
03/08/1000,1,Opplica,Baudshaw,sdf,33.33,
03/08/1000,1,Opplica,Mew,reform,66.67,
03/08/1000,1,Rorcia,Beary,sgp,44,
03/08/1000,1,Rorcia,Baudshaw,sdf,12,
03/08/1000,1,Rorcia,Mew,reform,42,
03/08/1000,1,Rorcia,Friedrich Wilhelm der Dritte,independent,2,
03/08/1000,1,Larimer,Beary,sgp,11,
03/08/1000,1,Larimer,Baudshaw,sdf,14,
03/08/1000,1,Larimer,Mew,reform,75,
03/08/1000,1,Porcerle,,,0,TRUE
03/08/1000,1,Taclima,,,0,TRUE
03/08/1000,1,Estellia,Beary,sgp,100,
03/08/1000,1,Estellia,Baudshaw,sdf,0,
03/08/1000,1,Estellia,Mew,reform,0,
03/08/1000,1,Stettigan,Beary,sgp,3,
03/08/1000,1,Stettigan,Baudshaw,sdf,39,
03/08/1000,1,Stettigan,Mew,reform,58,
03/08/1000,1,Acalliana,Beary,sgp,0,
03/08/1000,1,Acalliana,Baudshaw,sdf,0,
03/08/1000,1,Acalliana,Mew,reform,100,
03/08/1000,1,Cerbska,Beary,sgp,0,
03/08/1000,1,Cerbska,Baudshaw,sdf,0,
03/08/1000,1,Cerbska,Mew,reform,100,
03/08/1000,1,Armallos,Beary,sgp,0,
03/08/1000,1,Armallos,Baudshaw,sdf,0,
03/08/1000,1,Armallos,Mew,reform,100,
03/08/1000,1,Cambria,Beary,sgp,100,
03/08/1000,1,Cambria,Baudshaw,sdf,0,
03/08/1000,1,Cambria,Mew,reform,0,
03/08/1000,1,Calleoria,Beary,sgp,34,
03/08/1000,1,Calleoria,Baudshaw,sdf,55,
03/08/1000,1,Calleoria,Mew,reform,11,
03/08/1000,1,Blesna,Beary,sgp,100,
03/08/1000,1,Blesna,Baudshaw,sdf,0,
03/08/1000,1,Blesna,Mew,reform,0,
03/08/1000,1,Kostos,Beary,sgp,0,
03/08/1000,1,Kostos,Baudshaw,sdf,0,
03/08/1000,1,Kostos,Mew,reform,100,
03/08/1000,2,Appropriation 1,Beary,sgp,100,
03/08/1000,2,Appropriation 2,Mew,reform,100,
03/08/1000,2,Appropriation 3,,,0,TRUE
03/08/1000,2,Appropriation 4,,,0,TRUE
03/08/1000,2,National Popular Vote,Beary,sgp,35.63,
03/08/1000,2,National Popular Vote,Mew,reform,64.37,
03/08/1000,2,Matatheste,Beary,sgp,100,
03/08/1000,2,Matatheste,Mew,reform,0,
03/08/1000,2,New Queria,Beary,sgp,100,
03/08/1000,2,New Queria,Mew,reform,0,
03/08/1000,2,Yapburgh,Beary,sgp,50,
03/08/1000,2,Yapburgh,Mew,reform,50,
03/08/1000,2,Opplica,Beary,sgp,0,
03/08/1000,2,Opplica,Mew,reform,100,
03/08/1000,2,Rorcia,Beary,sgp,56,
03/08/1000,2,Rorcia,Mew,reform,44,
03/08/1000,2,Larimer,Beary,sgp,25,
03/08/1000,2,Larimer,Mew,reform,75,
03/08/1000,2,Porcerle,,,0,TRUE
03/08/1000,2,Taclima,,,0,TRUE
03/08/1000,2,Estellia,Beary,sgp,100,
03/08/1000,2,Estellia,Mew,reform,0,
03/08/1000,2,Stettigan,Beary,sgp,40,
03/08/1000,2,Stettigan,Mew,reform,60,
03/08/1000,2,Acalliana,Beary,sgp,0,
03/08/1000,2,Acalliana,Mew,reform,100,
03/08/1000,2,Cerbska,Beary,sgp,0,
03/08/1000,2,Cerbska,Mew,reform,100,
03/08/1000,2,Armallos,Beary,sgp,0,
03/08/1000,2,Armallos,Mew,reform,100,
03/08/1000,2,Cambria,Beary,sgp,100,
03/08/1000,2,Cambria,Mew,reform,0,
03/08/1000,2,Calleoria,Beary,sgp,75,
03/08/1000,2,Calleoria,Mew,reform,25,
03/08/1000,2,Blesna,Beary,sgp,100,
03/08/1000,2,Blesna,Mew,reform,0,
03/08/1000,2,Kostos,Beary,sgp,0,
03/08/1000,2,Kostos,Mew,reform,100,
