date,region,candidate,party,offyear,runoff,voteshare,disabled
03/08/1000,Coalition,reform,reflab,FALSE,FALSE,0,
03/08/1000,Coalition,labour,reflab,FALSE,FALSE,0,
03/08/1000,National Popular Vote,Independent,independent,FALSE,FALSE,17.39,
03/08/1000,National Popular Vote,Social Gospel Party,sgp,FALSE,FALSE,8.7,
03/08/1000,National Popular Vote,Labour,labour,FALSE,FALSE,21.74,
03/08/1000,National Popular Vote,Republican Federation,sdf,FALSE,FALSE,17.39,
03/08/1000,National Popular Vote,Reform Party,reform,FALSE,FALSE,34.78,
03/08/1000,Matatheste,Mokaeo,sgp,FALSE,FALSE,100,
03/08/1000,New Queria,Strong,reform,FALSE,FALSE,100,
03/08/1000,Yapburgh,Javer,sgp,FALSE,FALSE,51.22,
03/08/1000,Yapburgh,I Know How To Type,labour,FALSE,FALSE,48.78,
03/08/1000,Opplica,Chilicothe,reform,FALSE,FALSE,100,
03/08/1000,Rorcia,Daniel,independent,FALSE,FALSE,57.22,
03/08/1000,Rorcia,Baudshaw,sdf,FALSE,FALSE,26.56,
03/08/1000,Rorcia,How Do I Type,labour,FALSE,FALSE,16.22,
03/08/1000,Larimer,Edmund Montfort,reform,FALSE,FALSE,77.11,
03/08/1000,Larimer,Shane Daniels,sdf,FALSE,FALSE,22.89,
03/08/1000,Taclima,,,,,0,TRUE
03/08/1000,Porcerle,,,,,0,TRUE
03/08/1000,Estellia,Jeff Haffley,labour,FALSE,FALSE,100,
03/08/1000,Stettigan,Junius de Corgy,sdf,FALSE,FALSE,64.41,
03/08/1000,Stettigan,Arnold Whittier,reform,FALSE,FALSE,26.52,
03/08/1000,Stettigan,Muzz Cheese,reform,FALSE,FALSE,9.07,
03/08/1000,Acalliana,Scott Osborn,independent,FALSE,FALSE,100,
03/08/1000,Cerbska,Dick Cheney,reform,FALSE,FALSE,100,
03/08/1000,Armallos,,,,,0,TRUE
03/08/1000,Cambria,Horsecrappe,labour,FALSE,FALSE,100,
03/08/1000,Calleoria,Archie,labour,FALSE,FALSE,100,
03/08/1000,Calleoria 2nd,Kier Starmer,labour,FALSE,FALSE,91.74,
03/08/1000,Calleoria 2nd,Andy Burnyap,independent,FALSE,FALSE,4.41,
03/08/1000,Calleoria 2nd,Marco,independent,FALSE,FALSE,3.85,
03/08/1000,Blesna,Beary,sgp,FALSE,FALSE,100,
03/08/1000,Kostos,Charlooz,labour,FALSE,FALSE,50,
03/08/1000,Kostos,The_Green_Bean,reform,FALSE,FALSE,50,
08/22/1001,Larimer,Thomas Lowestoft,reform,TRUE,FALSE,59.55,
08/22/1001,Larimer,Casey Quirk,reform,TRUE,FALSE,12.1,
08/22/1001,Larimer,Shane Daniels,sdf,TRUE,FALSE,28.35,
08/22/1001,Calleoria,Pika,sdf,TRUE,FALSE,64.48,
08/22/1001,Calleoria,Andy Burnyap,sgp,TRUE,FALSE,35.52,
08/22/1001,Calleoria 2nd,Andy Burnyap,sgp,TRUE,FALSE,100,
08/22/1001,Taclima,Aurelia,sdf,TRUE,FALSE,100,
08/22/1001,Armallos,,,,,0,TRUE
08/22/1001,Porcerle,,,,,0,TRUE
